# Here you find the simulation outputdata
# Look into hetero_Particles.dat for general simulation data and aggregate data
#
#######################################################
# Experiment:							hetero
# Date:									2025-04-04 11:41

#######################################################
# Conditions acc to:					Pe
# Peclet Number:						0.0000e+00
# z-Velocity (m/s):						0.0000e+00
# Box_size (rel. to r_mean):			280
# Hight above max(z) (rel. to r_mean):	60
# Timestep adjustment:					1.00
# Temperature (K):						1488.10
#######################################################
# Particle Size Distribution:			lognorm
# Particle Mean Radius (nm):			4.48
# Particle sDerivation:					0.37
# Calculation Friction acc to:			Chen & Dahneke
#######################################################
# Primary particles:					200000
# Aggregates:							6452
# Particle Number Distribution:			none
# Particles per Aggregate:				31
#
# Fractal Dimension / Prefactor:		2.05	1.30
# Epsilon,Delta,Deformation:			1.001	1.010	1.000
# One Material is used
# Density (kg/m^3):						4.23e+03
#
#######################################################
# Agg	Np	Diff_p(m^2/s)	frict	m_p(kg)	t_s(s)	r_g	rho(kg/m^3)
162	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.095924e-08	4.230e+03
163	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.041798e-08	4.230e+03
164	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.060172e-08	4.230e+03
165	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.093631e-08	4.230e+03
166	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.095093e-08	4.230e+03
167	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.079455e-08	4.230e+03
168	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.066836e-08	4.230e+03
169	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.081149e-08	4.230e+03
170	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.088275e-08	4.230e+03
171	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.068909e-08	4.230e+03
172	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.064834e-08	4.230e+03
173	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.089533e-08	4.230e+03
174	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.090155e-08	4.230e+03
175	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.071127e-08	4.230e+03
176	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.086025e-08	4.230e+03
177	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.075988e-08	4.230e+03
178	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.096272e-08	4.230e+03
179	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.087077e-08	4.230e+03
180	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.088597e-08	4.230e+03
181	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.084604e-08	4.230e+03
182	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.086020e-08	4.230e+03
183	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.097467e-08	4.230e+03
184	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.088917e-08	4.230e+03
185	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.098024e-08	4.230e+03
186	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.101426e-08	4.230e+03
187	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.091154e-08	4.230e+03
188	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.099446e-08	4.230e+03
189	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.097934e-08	4.230e+03
190	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.102510e-08	4.230e+03
191	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.089822e-08	4.230e+03
192	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.101235e-08	4.230e+03
193	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.101344e-08	4.230e+03
194	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.103930e-08	4.230e+03
195	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.101168e-08	4.230e+03
196	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.100310e-08	4.230e+03
197	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.095421e-08	4.230e+03
198	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.100198e-08	4.230e+03
